# ----------------------------------------
# www.metro.net
# Pages
# 20191001-20191031
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.metro.net/riding/nextrip/,"287,389","178,378",00:06:18,"163,889",69.81%,60.07%,$0.00
www.metro.net/,"241,968","184,535",00:02:50,"167,238",57.42%,53.13%,$0.00
www.metro.net/riding/maps/,"103,316","67,955",00:01:29,"43,564",47.02%,37.24%,$0.00
www.metro.net/riding/nextrip/bus-arrivals/,"98,296","65,139",00:07:45,"62,753",73.71%,64.57%,$0.00
www.metro.net/riding/trip-planner/,"83,698","61,765",00:04:39,"38,979",69.38%,58.53%,$0.00
www.metro.net/riding/fares/,"65,389","50,067",00:01:57,"28,038",57.07%,43.41%,$0.00
www.metro.net/about/talent-management/,"29,739","20,980",00:02:25,"10,886",64.94%,59.71%,$0.00
www.metro.net/projects/new-blue-line-improvements/,"29,474","25,015",00:02:03,"15,094",66.69%,55.34%,$0.00
www.metro.net/riding/guide/,"20,809","14,097",00:00:24,"2,575",21.98%,8.34%,$0.00
www.metro.net/projects/life/,"20,445","17,605",00:01:38,"14,665",62.92%,57.91%,$0.00
www.metro.net/riding/paid_parking/gold-line/,"17,381","13,406",00:02:22,"11,200",61.10%,55.23%,$0.00
www.metro.net/riding/paid_parking/red-line/,"15,652","13,551",00:02:41,"10,703",70.21%,63.51%,$0.00
www.metro.net/about/search/,"13,138","11,436",00:01:29,"1,541",75.47%,41.06%,$0.00
www.metro.net/riding/paid_parking/,"12,393","8,533",00:01:15,"5,731",38.13%,31.34%,$0.00
www.metro.net/riding/paid_parking/expo-line/,"10,406","8,661",00:02:39,"6,252",62.72%,55.70%,$0.00
www.metro.net/riding/paid_parking/blue-line/,"9,811","8,571",00:02:17,"6,564",54.04%,50.04%,$0.00
www.metro.net/riding/guide/Aline-blue/,"9,717","8,231",00:01:14,"5,908",74.36%,60.92%,$0.00
www.metro.net/riding/maps/001-099/,"8,339","6,098",00:02:45,"1,169",65.70%,49.35%,$0.00
www.metro.net/riding/fares/tap/,"7,948","7,203",00:02:32,"4,033",70.47%,54.23%,$0.00
www.metro.net/riding/maps/200-299/,"7,246","5,267",00:02:56,981,64.53%,48.74%,$0.00
www.metro.net/riding/fares/collegevocational/,"6,951","5,511",00:01:34,"2,189",57.93%,43.14%,$0.00
