# ----------------------------------------
# www.metro.net
# Pages
# 20200201-20200229
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.metro.net/riding/nextrip/,"241,379","146,868",00:06:04,"136,282",69.57%,59.12%,$0.00
www.metro.net/,"185,752","147,653",00:03:03,"136,729",57.60%,56.16%,$0.00
www.metro.net/riding/nextrip/bus-arrivals/,"83,424","55,182",00:07:21,"53,371",73.17%,64.37%,$0.00
www.metro.net/riding/trip-planner/,"67,587","49,685",00:04:48,"31,902",69.43%,58.96%,$0.00
www.metro.net/riding/maps/,"60,602","43,858",00:01:41,"37,491",21.30%,40.53%,$0.00
www.metro.net/riding/fares/,"47,645","39,287",00:02:12,"23,614",61.12%,49.35%,$0.00
www.metro.net/riding/schedules/,"23,452","14,871",00:00:29,930,25.19%,6.66%,$0.00
www.metro.net/about/careers/,"23,090","16,862",00:02:21,"7,185",68.02%,62.56%,$0.00
www.metro.net/riding/guide/,"15,150","10,535",00:00:33,"1,701",23.99%,11.42%,$0.00
www.metro.net/riding/guide/system-maps/,"10,554","8,839",00:04:14,"2,561",28.44%,54.18%,$0.00
www.metro.net/about/search/,"9,462","8,288",00:01:55,"1,286",64.98%,42.88%,$0.00
www.metro.net/riding/guide/L-line/,"8,901","7,851",00:01:47,"6,946",50.76%,47.53%,$0.00
www.metro.net/projects/westside/,"8,331","7,025",00:02:18,"5,097",48.41%,51.84%,$0.00
www.metro.net/about/contact/,"8,252","6,863",00:03:17,"3,525",78.19%,64.60%,$0.00
www.metro.net/riding/parking/lotsbyline/,"8,226","5,868",00:02:47,"1,387",69.56%,47.00%,$0.00
www.metro.net/riding/parking/,"8,003","5,512",00:00:31,"3,405",19.47%,13.98%,$0.00
www.metro.net/projects/nextgen/,"7,970","6,009",00:02:35,"4,159",58.34%,50.65%,$0.00
www.metro.net/riding/guide/A-line/,"7,634","6,551",00:01:51,"5,450",51.06%,46.04%,$0.00
